"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","total_cost","revenue"
2023-06-01,Yandex,cpc,"03997128",1,0,0,0,0
2023-06-01,Yandex,cpm,"01097402",1,0,0,0,0
2023-06-01,admitad,cpa,"442763",1,0,0,0,0
2023-06-01,admitad,cpa,admitad,132,0,0,0,0
2023-06-01,dzen,social,dzen_post,2,0,0,0,0
2023-06-01,google,cpc,frontend,3,0,0,0,0
2023-06-01,telegram,cpm,base_java,1,0,0,0,0
2023-06-01,telegram,cpm,java,1,0,0,0,0
2023-06-01,telegram,cpp,base-frontend,5,0,0,0,0
2023-06-01,telegram,cpp,base-java,39,0,0,0,0
